"","Date","Home","Away","HomeGoals","AwayGoals"
"205",2009-08-16,"Heracles Almelo","Feyenoord",0,1
"206",2009-08-16,"Roda JC","NEC Nijmegen",1,0
"207",2009-08-16,"Utrecht","VVV-Venlo",2,2
"208",2010-04-03,"Roda JC","RKC Waalwijk",5,1
"209",2010-04-03,"Heerenveen","Sparta R'dam",4,1
"210",2010-04-03,"VVV-Venlo","Twente",0,2
"211",2010-04-03,"AZ Alkmaar","Utrecht",2,0
"212",2010-04-03,"Vitesse","Groningen",3,0
"213",2010-04-04,"Willem II","PSV Eindhoven",0,1
"214",2010-04-04,"Heracles Almelo","NEC Nijmegen",2,0
"215",2010-04-04,"ADO Den Haag","Ajax",0,1
"216",2010-04-04,"Feyenoord","NAC Breda",0,0
"217",2010-04-09,"RKC Waalwijk","Vitesse",4,1
"218",2010-04-10,"NEC Nijmegen","AZ Alkmaar",0,0
"219",2010-04-10,"Sparta R'dam","Heracles Almelo",1,1
"220",2010-04-10,"NAC Breda","Roda JC",1,0
"221",2010-04-10,"Twente","Heerenveen",2,0
"222",2010-04-11,"PSV Eindhoven","Feyenoord",0,0
"223",2010-04-11,"Ajax","VVV-Venlo",7,0
"224",2010-04-11,"Groningen","Willem II",4,0
"225",2010-04-11,"Utrecht","ADO Den Haag",0,2
"226",2010-04-13,"Vitesse","NAC Breda",1,1
"227",2010-04-13,"AZ Alkmaar","Twente",1,0
"228",2010-04-13,"Heracles Almelo","RKC Waalwijk",4,1
"229",2010-04-14,"Roda JC","VVV-Venlo",4,2
"230",2010-04-14,"Willem II","Ajax",0,2
"231",2010-04-14,"Utrecht","Groningen",1,1
"232",2010-04-14,"Feyenoord","Sparta R'dam",3,0
"233",2010-04-14,"Heerenveen","PSV Eindhoven",2,2
"234",2010-04-14,"ADO Den Haag","NEC Nijmegen",2,3
"235",2010-04-18,"ADO Den Haag","RKC Waalwijk",4,0
"236",2010-04-18,"Sparta R'dam","Utrecht",0,3
"237",2010-04-18,"Heerenveen","NAC Breda",0,0
"238",2010-04-18,"Vitesse","Roda JC",2,5
"239",2010-04-18,"Ajax","Heracles Almelo",4,0
"240",2010-04-18,"VVV-Venlo","NEC Nijmegen",2,0
"241",2010-04-18,"PSV Eindhoven","Groningen",3,1
"242",2010-04-18,"Willem II","AZ Alkmaar",0,3
"243",2010-04-18,"Twente","Feyenoord",2,0
"244",2010-05-02,"NAC Breda","Twente",0,2
"245",2010-05-02,"RKC Waalwijk","VVV-Venlo",1,2
"246",2010-05-02,"Utrecht","Vitesse",2,2
"247",2010-05-02,"Groningen","Sparta R'dam",3,1
"248",2010-05-02,"Heracles Almelo","ADO Den Haag",4,2
"249",2010-05-02,"Roda JC","Willem II",3,2
"250",2010-05-02,"NEC Nijmegen","Ajax",1,4
"251",2010-05-02,"AZ Alkmaar","PSV Eindhoven",1,1
"252",2010-05-02,"Feyenoord","Heerenveen",6,2
"253",2009-08-22,"Vitesse","ADO Den Haag",1,3
"254",2009-08-22,"Willem II","Heracles Almelo",0,1
"255",2009-08-22,"VVV-Venlo","Groningen",2,2
"256",2009-08-23,"Feyenoord","Roda JC",4,0
"257",2009-08-23,"Ajax","Sparta R'dam",0,0
"258",2009-08-23,"Twente","RKC Waalwijk",2,1
"259",2009-08-23,"Heerenveen","AZ Alkmaar",0,2
"260",2009-08-23,"PSV Eindhoven","NAC Breda",3,1
"261",2009-09-30,"NEC Nijmegen","Utrecht",1,1
"262",2009-08-28,"RKC Waalwijk","ADO Den Haag",0,2
"263",2009-08-28,"Roda JC","Vitesse",3,4
"264",2009-08-29,"Utrecht","Sparta R'dam",2,0
"265",2009-08-29,"AZ Alkmaar","Willem II",2,1
"266",2009-08-29,"NEC Nijmegen","VVV-Venlo",1,1
"267",2009-08-30,"Feyenoord","Twente",1,1
"268",2009-08-30,"Groningen","PSV Eindhoven",0,2
"269",2009-08-30,"Heracles Almelo","Ajax",0,3
"270",2009-08-30,"NAC Breda","Heerenveen",2,0
"271",2009-09-12,"ADO Den Haag","AZ Alkmaar",2,1
"272",2009-09-12,"PSV Eindhoven","Roda JC",3,0
"273",2009-09-12,"Twente","Utrecht",3,2
"274",2009-09-12,"Heerenveen","Groningen",0,1
"275",2009-09-13,"Willem II","Feyenoord",2,3
"276",2009-09-13,"Sparta R'dam","RKC Waalwijk",1,0
"277",2009-09-13,"VVV-Venlo","Heracles Almelo",1,0
"278",2009-09-13,"Ajax","NAC Breda",6,0
"279",2009-09-13,"Vitesse","NEC Nijmegen",2,2
"280",2009-09-18,"Willem II","Groningen",2,1
"281",2009-09-19,"Vitesse","RKC Waalwijk",3,1
"282",2009-09-19,"Roda JC","NAC Breda",2,0
"283",2009-09-19,"AZ Alkmaar","NEC Nijmegen",0,1
"284",2009-09-19,"Heracles Almelo","Sparta R'dam",1,1
"285",2009-09-20,"VVV-Venlo","Ajax",0,4
"286",2009-09-20,"Feyenoord","PSV Eindhoven",1,3
"287",2009-09-20,"ADO Den Haag","Utrecht",0,1
"288",2009-09-20,"Heerenveen","Twente",0,2
"289",2009-09-26,"Utrecht","AZ Alkmaar",1,0
"290",2009-09-26,"Twente","VVV-Venlo",2,1
