"","Competition_Name","Gender","Country","Season_End_Year","Round","Wk","Day","Date","Time","Home","HomeGoals","Away","AwayGoals","Attendance","Venue","Referee","Notes","MatchURL","Home_xG","Away_xG"
"66","Serie A","M","ITA",2013,NA,"15","Sun",2012-12-02,NA,"Bologna",2,"Atalanta",1,NA,NA,"Antonio Giannoccaro","","https://fbref.com/en/matches/a2f95188/Bologna-Atalanta-December-2-2012-Serie-A",NA,NA
"67","Serie A","M","ITA",2013,NA,"15","Sun",2012-12-02,NA,"Napoli",5,"Pescara",1,NA,NA,"Sebastiano Peruzzo","","https://fbref.com/en/matches/5ccde3b9/Napoli-Pescara-December-2-2012-Serie-A",NA,NA
"68","Serie A","M","ITA",2013,NA,"15","Sun",2012-12-02,NA,"Udinese",4,"Cagliari",1,NA,NA,"Dino Tommasi","","https://fbref.com/en/matches/3d7fb814/Udinese-Cagliari-December-2-2012-Serie-A",NA,NA
"69","Serie A","M","ITA",2013,NA,"15","Sun",2012-12-02,NA,"Lazio",2,"Parma",1,NA,NA,"Marco Guida","","https://fbref.com/en/matches/2d2e3e74/Lazio-Parma-December-2-2012-Serie-A",NA,NA
"70","Serie A","M","ITA",2013,NA,"15","Sun",2012-12-02,NA,"Siena",1,"Roma",3,NA,NA,"Paolo Mazzoleni","","https://fbref.com/en/matches/bdd72f4f/Siena-Roma-December-2-2012-Serie-A",NA,NA
"71","Serie A","M","ITA",2013,NA,"16","Sat",2012-12-08,NA,"Roma",4,"Fiorentina",2,NA,NA,"Luca Banti","","https://fbref.com/en/matches/8b6b116e/Roma-Fiorentina-December-8-2012-Serie-A",NA,NA
"72","Serie A","M","ITA",2013,NA,"16","Sat",2012-12-08,NA,"Atalanta",2,"Parma",1,NA,NA,"Gianpaolo Calvarese","","https://fbref.com/en/matches/c7f480a6/Atalanta-Parma-December-8-2012-Serie-A",NA,NA
"73","Serie A","M","ITA",2013,NA,"16","Sun",2012-12-09,NA,"Cagliari",0,"Chievo",2,NA,NA,"Carmine Russo","","https://fbref.com/en/matches/e39792cf/Cagliari-Chievo-December-9-2012-Serie-A",NA,NA
"74","Serie A","M","ITA",2013,NA,"16","Sun",2012-12-09,NA,"Pescara",2,"Genoa",0,NA,NA,"Domenico Celi","","https://fbref.com/en/matches/0e04ef6a/Pescara-Genoa-December-9-2012-Serie-A",NA,NA
"75","Serie A","M","ITA",2013,NA,"16","Sun",2012-12-09,NA,"Inter",2,"Napoli",1,NA,NA,"Nicola Rizzoli","","https://fbref.com/en/matches/c9e59ea0/Internazionale-Napoli-December-9-2012-Serie-A",NA,NA
"76","Serie A","M","ITA",2013,NA,"16","Sun",2012-12-09,NA,"Palermo",0,"Juventus",1,NA,NA,"Andrea De Marco","","https://fbref.com/en/matches/d8fefcdc/Palermo-Juventus-December-9-2012-Serie-A",NA,NA
"77","Serie A","M","ITA",2013,NA,"16","Sun",2012-12-09,NA,"Torino",2,"Milan",4,NA,NA,"Andrea Romeo","","https://fbref.com/en/matches/f05464bd/Torino-Milan-December-9-2012-Serie-A",NA,NA
"78","Serie A","M","ITA",2013,NA,"16","Sun",2012-12-09,NA,"Siena",1,"Catania",3,NA,NA,"Daniele Doveri","","https://fbref.com/en/matches/6515634b/Siena-Catania-December-9-2012-Serie-A",NA,NA
"79","Serie A","M","ITA",2013,NA,"16","Mon",2012-12-10,NA,"Bologna",0,"Lazio",0,NA,NA,"Antonio Damato","","https://fbref.com/en/matches/efafc08e/Bologna-Lazio-December-10-2012-Serie-A",NA,NA
"80","Serie A","M","ITA",2013,NA,"16","Mon",2012-12-10,NA,"Sampdoria",0,"Udinese",2,NA,NA,"Andrea Gervasoni","","https://fbref.com/en/matches/2ff525a8/Sampdoria-Udinese-December-10-2012-Serie-A",NA,NA
