,Unnamed: 0,Competition_Name,Gender,Country,Season_End_Year,Round,Wk,Day,Date,Time,Home,HomeGoals,Away,AwayGoals,Attendance,Venue,Referee,Notes,MatchURL,Home_xG,Away_xG,advanced_match_stats_path,Home_Formation,Away_Formation,advanced_stat_needed
351,352,Fußball-Bundesliga,M,GER,2011,,14.0,Fri,2010-11-26,,Mainz 05,3,Nürnberg,0,,,Peter Gagelmann,,https://fbref.com/en/matches/a3875110/Mainz-05-Nurnberg-November-26-2010-Bundesliga,,,Mainz-05-Nurnberg-November-26-2010-Bundesliga,4-4-2,4-1-4-1,0.0
352,353,Fußball-Bundesliga,M,GER,2011,,14.0,Sat,2010-11-27,,Hamburger SV,4,Stuttgart,2,,,Wolfgang Stark,,https://fbref.com/en/matches/0e603a17/Hamburger-SV-Stuttgart-November-27-2010-Bundesliga,,,Hamburger-SV-Stuttgart-November-27-2010-Bundesliga,4-2-3-1,4-4-2,0.0
353,354,Fußball-Bundesliga,M,GER,2011,,14.0,Sat,2010-11-27,,Hannover 96,3,Freiburg,0,,,Peter Sippel,,https://fbref.com/en/matches/25a247eb/Hannover-96-Freiburg-November-27-2010-Bundesliga,,,Hannover-96-Freiburg-November-27-2010-Bundesliga,4-4-2,4-1-4-1,0.0
354,355,Fußball-Bundesliga,M,GER,2011,,14.0,Sat,2010-11-27,,Hoffenheim,2,Leverkusen,2,,,Thorsten Kinhöfer,,https://fbref.com/en/matches/3ab465b5/Hoffenheim-Bayer-Leverkusen-November-27-2010-Bundesliga,,,Hoffenheim-Bayer-Leverkusen-November-27-2010-Bundesliga,4-3-3,4-2-3-1,0.0
355,356,Fußball-Bundesliga,M,GER,2011,,14.0,Sat,2010-11-27,,Kaiserslautern,5,Schalke 04,0,,,Günter Perl,,https://fbref.com/en/matches/65c1899b/Kaiserslautern-Schalke-04-November-27-2010-Bundesliga,,,Kaiserslautern-Schalke-04-November-27-2010-Bundesliga,4-1-4-1,4-4-2,0.0
356,357,Fußball-Bundesliga,M,GER,2011,,14.0,Sat,2010-11-27,,Bayern Munich,4,Eint Frankfurt,1,,,Felix Zwayer,,https://fbref.com/en/matches/730feac6/Bayern-Munich-Eintracht-Frankfurt-November-27-2010-Bundesliga,,,Bayern-Munich-Eintracht-Frankfurt-November-27-2010-Bundesliga,4-2-3-1,4-2-3-1,0.0
357,358,Fußball-Bundesliga,M,GER,2011,,14.0,Sat,2010-11-27,,Dortmund,4,M'Gladbach,1,,,Manuel Gräfe,,https://fbref.com/en/matches/e19a4af3/Dortmund-Monchengladbach-November-27-2010-Bundesliga,,,Dortmund-Monchengladbach-November-27-2010-Bundesliga,4-2-3-1,4-4-2,0.0
358,359,Fußball-Bundesliga,M,GER,2011,,14.0,Sun,2010-11-28,,Köln,1,Wolfsburg,1,,,Guido Winkmann,,https://fbref.com/en/matches/17a52b7e/Koln-Wolfsburg-November-28-2010-Bundesliga,,,Koln-Wolfsburg-November-28-2010-Bundesliga,4-2-3-1,4-1-2-1-2,0.0
359,360,Fußball-Bundesliga,M,GER,2011,,14.0,Sun,2010-11-28,,Werder Bremen,3,St. Pauli,0,,,Felix Brych,,https://fbref.com/en/matches/b592c248/Werder-Bremen-St-Pauli-November-28-2010-Bundesliga,,,Werder-Bremen-St-Pauli-November-28-2010-Bundesliga,4-2-3-1,4-1-4-1,0.0
360,361,Fußball-Bundesliga,M,GER,2011,,15.0,Fri,2010-12-03,,St. Pauli,1,Kaiserslautern,0,,,Knut Kircher,,https://fbref.com/en/matches/78487691/St-Pauli-Kaiserslautern-December-3-2010-Bundesliga,,,St-Pauli-Kaiserslautern-December-3-2010-Bundesliga,4-2-3-1,4-1-4-1,0.0
361,362,Fußball-Bundesliga,M,GER,2011,,15.0,Sat,2010-12-04,,Schalke 04,2,Bayern Munich,0,,,Peter Gagelmann,,https://fbref.com/en/matches/3f4b0dcf/Schalke-04-Bayern-Munich-December-4-2010-Bundesliga,,,Schalke-04-Bayern-Munich-December-4-2010-Bundesliga,4-4-2,4-2-3-1,0.0
362,363,Fußball-Bundesliga,M,GER,2011,,15.0,Sat,2010-12-04,,Freiburg,1,Hamburger SV,0,,,Tobias Welz,,https://fbref.com/en/matches/4f943ab5/Freiburg-Hamburger-SV-December-4-2010-Bundesliga,,,Freiburg-Hamburger-SV-December-4-2010-Bundesliga,4-1-4-1,4-4-2,0.0
363,364,Fußball-Bundesliga,M,GER,2011,,15.0,Sat,2010-12-04,,M'Gladbach,1,Hannover 96,2,,,Marco Fritz,,https://fbref.com/en/matches/8098a4c0/Monchengladbach-Hannover-96-December-4-2010-Bundesliga,,,Monchengladbach-Hannover-96-December-4-2010-Bundesliga,4-4-2,4-4-2,0.0
364,365,Fußball-Bundesliga,M,GER,2011,,15.0,Sat,2010-12-04,,Eint Frankfurt,2,Mainz 05,1,,,Florian Meyer,,https://fbref.com/en/matches/a53ff821/Eintracht-Frankfurt-Mainz-05-December-4-2010-Bundesliga,,,Eintracht-Frankfurt-Mainz-05-December-4-2010-Bundesliga,4-4-2,4-3-3,0.0
365,366,Fußball-Bundesliga,M,GER,2011,,15.0,Sat,2010-12-04,,Wolfsburg,0,Werder Bremen,0,,,Deniz Aytekin,,https://fbref.com/en/matches/d08105f0/Wolfsburg-Werder-Bremen-December-4-2010-Bundesliga,,,Wolfsburg-Werder-Bremen-December-4-2010-Bundesliga,4-2-3-1,4-2-3-1,0.0
366,367,Fußball-Bundesliga,M,GER,2011,,15.0,Sat,2010-12-04,,Stuttgart,1,Hoffenheim,1,,,Jochen Drees,,https://fbref.com/en/matches/fa380552/Stuttgart-Hoffenheim-December-4-2010-Bundesliga,,,Stuttgart-Hoffenheim-December-4-2010-Bundesliga,4-3-3,4-3-3,0.0
367,368,Fußball-Bundesliga,M,GER,2011,,15.0,Sun,2010-12-05,,Nürnberg,0,Dortmund,2,,,Michael Weiner,,https://fbref.com/en/matches/4521d20e/Nurnberg-Dortmund-December-5-2010-Bundesliga,,,Nurnberg-Dortmund-December-5-2010-Bundesliga,4-1-4-1,4-2-3-1,0.0
368,369,Fußball-Bundesliga,M,GER,2011,,15.0,Sun,2010-12-05,,Leverkusen,3,Köln,2,,,Felix Brych,,https://fbref.com/en/matches/4da55f9d/Bayer-Leverkusen-Koln-December-5-2010-Bundesliga,,,Bayer-Leverkusen-Koln-December-5-2010-Bundesliga,4-2-3-1,4-2-3-1,0.0
369,370,Fußball-Bundesliga,M,GER,2011,,16.0,Fri,2010-12-10,,Hannover 96,2,Stuttgart,1,,,Manuel Gräfe,,https://fbref.com/en/matches/eb88f292/Hannover-96-Stuttgart-December-10-2010-Bundesliga,,,Hannover-96-Stuttgart-December-10-2010-Bundesliga,4-4-2,4-2-3-1,0.0
370,371,Fußball-Bundesliga,M,GER,2011,,16.0,Sat,2010-12-11,,Dortmund,2,Werder Bremen,0,,,Florian Meyer,,https://fbref.com/en/matches/094ad617/Dortmund-Werder-Bremen-December-11-2010-Bundesliga,,,Dortmund-Werder-Bremen-December-11-2010-Bundesliga,4-2-3-1,4-2-3-1,0.0
371,372,Fußball-Bundesliga,M,GER,2011,,16.0,Sat,2010-12-11,,Bayern Munich,3,St. Pauli,0,,,Babak Rafati,,https://fbref.com/en/matches/4b74c2e4/Bayern-Munich-St-Pauli-December-11-2010-Bundesliga,,,Bayern-Munich-St-Pauli-December-11-2010-Bundesliga,4-2-3-1,4-2-3-1,0.0
372,373,Fußball-Bundesliga,M,GER,2011,,16.0,Sat,2010-12-11,,Hamburger SV,2,Leverkusen,4,,,Felix Zwayer,,https://fbref.com/en/matches/7be81f12/Hamburger-SV-Bayer-Leverkusen-December-11-2010-Bundesliga,,,Hamburger-SV-Bayer-Leverkusen-December-11-2010-Bundesliga,4-4-2,4-2-3-1,0.0
373,374,Fußball-Bundesliga,M,GER,2011,,16.0,Sat,2010-12-11,,Köln,1,Eint Frankfurt,0,,,Markus Schmidt,,https://fbref.com/en/matches/9741e90c/Koln-Eintracht-Frankfurt-December-11-2010-Bundesliga,,,Koln-Eintracht-Frankfurt-December-11-2010-Bundesliga,4-2-3-1,4-2-3-1,0.0
374,375,Fußball-Bundesliga,M,GER,2011,,16.0,Sat,2010-12-11,,Hoffenheim,1,Nürnberg,1,,,Marc Seemann,,https://fbref.com/en/matches/99c45df5/Hoffenheim-Nurnberg-December-11-2010-Bundesliga,,,Hoffenheim-Nurnberg-December-11-2010-Bundesliga,4-4-2,4-1-4-1,0.0
375,376,Fußball-Bundesliga,M,GER,2011,,16.0,Sat,2010-12-11,,Kaiserslautern,0,Wolfsburg,0,,,Peter Sippel,,https://fbref.com/en/matches/f90bc6e0/Kaiserslautern-Wolfsburg-December-11-2010-Bundesliga,,,Kaiserslautern-Wolfsburg-December-11-2010-Bundesliga,4-1-4-1,4-4-1-1,0.0
376,377,Fußball-Bundesliga,M,GER,2011,,16.0,Sun,2010-12-12,,Mainz 05,0,Schalke 04,1,,,Felix Brych,,https://fbref.com/en/matches/05a23825/Mainz-05-Schalke-04-December-12-2010-Bundesliga,,,Mainz-05-Schalke-04-December-12-2010-Bundesliga,4-2-3-1,4-4-2,0.0
377,378,Fußball-Bundesliga,M,GER,2011,,16.0,Sun,2010-12-12,,Freiburg,3,M'Gladbach,0,,,Wolfgang Stark,,https://fbref.com/en/matches/26303cb4/Freiburg-Monchengladbach-December-12-2010-Bundesliga,,,Freiburg-Monchengladbach-December-12-2010-Bundesliga,4-1-4-1,4-4-1-1,0.0
378,379,Fußball-Bundesliga,M,GER,2011,,17.0,Fri,2010-12-17,,M'Gladbach,1,Hamburger SV,2,,,Günter Perl,,https://fbref.com/en/matches/dfcd7937/Monchengladbach-Hamburger-SV-December-17-2010-Bundesliga,,,Monchengladbach-Hamburger-SV-December-17-2010-Bundesliga,4-3-2-1,4-2-3-1,0.0
379,380,Fußball-Bundesliga,M,GER,2011,,17.0,Sat,2010-12-18,,Nürnberg,3,Hannover 96,1,,,Guido Winkmann,,https://fbref.com/en/matches/1448ad07/Nurnberg-Hannover-96-December-18-2010-Bundesliga,,,Nurnberg-Hannover-96-December-18-2010-Bundesliga,4-2-3-1,4-4-2,0.0
380,381,Fußball-Bundesliga,M,GER,2011,,17.0,Sat,2010-12-18,,Schalke 04,3,Köln,0,,,Wolfgang Stark,,https://fbref.com/en/matches/36b9c07c/Schalke-04-Koln-December-18-2010-Bundesliga,,,Schalke-04-Koln-December-18-2010-Bundesliga,4-4-2,4-2-3-1,0.0
381,382,Fußball-Bundesliga,M,GER,2011,,17.0,Sat,2010-12-18,,Wolfsburg,2,Hoffenheim,2,,,Knut Kircher,,https://fbref.com/en/matches/430a11e0/Wolfsburg-Hoffenheim-December-18-2010-Bundesliga,,,Wolfsburg-Hoffenheim-December-18-2010-Bundesliga,4-1-2-1-2,4-2-3-1,0.0
